taskname,hololens,euclideanError,recalibratedEuclideanError,cosineError
calibration,A,5.569849263991378,2.9638912987120087,5.434137308893916
calibration,A,7.406451449311706,2.9224806157484053,7.314885230775771
calibration,A,8.2472066698075,2.611920471617703,8.038199229679499
calibration,A,7.766793497517323,2.5886632926022224,7.5746889109866995
calibration,A,11.433634140800871,1.9309325157701298,11.100621657090707
calibration,A,14.364968875986762,1.7843257760199165,14.007782805434617
calibration,A,7.065571748410119,2.118001318389143,6.916286214558505
calibration,A,9.52877952075965,2.6372527820173453,9.292551588277616
calibration,A,3.5218710931403967,1.3750222775786236,3.4481490072282646
calibration,A,5.808082341885804,1.3173667384939163,5.662060902837032
calibration,A,4.49297115985028,2.7070800029597546,4.387490506508156
calibration,A,1.940441193729635,2.8187127824592584,1.9079091285609537
calibration,A,10.064636704040844,2.1619530056301537,9.824967282380534
calibration,A,10.390310184420946,1.821302484466517,10.12844724556036
calibration,A,7.056832422997594,4.19286655572694,6.89840206888362
calibration,A,7.297123391761288,5.912354419655977,7.167320543688449
calibration,A,8.433566309593864,2.345992908224151,8.227210270297192
calibration,A,6.153205942275525,1.9834805076908433,6.012830635994966
calibration,A,2.130422665712205,1.4775978595732067,2.0970416164332666
calibration,A,3.063270363453801,1.5231267454648274,3.026283683430343
calibration,A,7.767722041598634,1.5196669384014054,7.609479243687914
calibration,A,9.617893577985003,1.725922299400631,9.374015384943348
calibration,A,8.04688548628083,1.906244535854653,7.837273901511007
calibration,A,4.6165858597349825,1.8414329939982086,4.50968818186592
calibration,A,8.914051583854205,2.863914537431062,8.69367518981501
calibration,A,6.271775751695996,1.7823008343232316,6.127919657490071
calibration,A,8.091675381913774,3.8542203020935846,7.982815523340529
calibration,A,9.553520623509097,1.2442094481596375,9.440679289530038
calibration,A,10.08045712820468,0.9178405572792266,9.852933155635242
calibration,A,9.852398054186402,0.9552232121563603,9.57608749377732
calibration,A,5.933914610110139,1.834241989570503,5.809242594823234
calibration,A,3.569938659582627,1.793275373767471,3.5302555207323367
calibration,A,7.641718578575295,1.5983729465245309,7.456552024852288
calibration,A,5.246895667460102,1.7424278699073696,5.140751108504468
calibration,A,4.329154582188816,5.91622788267478,4.240629781029337
calibration,A,9.720476960383017,6.629422982592731,9.544752246599103
calibration,A,3.4655580902588294,1.7378837111906749,3.3853324514769088
calibration,A,1.682718053693862,1.666804815849316,1.6596420815075563
calibration,A,22.684041854248605,5.469456763060075,21.71803716352249
calibration,A,15.663811435548679,5.53403138772421,15.273358564624775
calibration,A,2.136549810878242,1.5196746337406348,2.0827247873273773
calibration,A,4.754538501568903,1.7151035328139237,4.645583710181578
calibration,A,15.790041828179861,1.770323339825806,15.384203123028605
calibration,A,16.32157001678261,1.809319519847123,15.89864804670068
calibration,A,8.909241018500236,2.2188204260262063,8.828070770844516
calibration,A,8.610106345620352,2.2468920341986323,8.477093469236191
calibration,A,9.438753661067047,2.4138370718429294,9.19866446654847
calibration,A,6.82123662214947,2.5090638693998093,6.677517806123644
calibration,A,1.0030093659968617,2.6771462662839256,0.9861248474256767
calibration,A,6.92373852596362,5.373195360495026,6.822953995591346
calibration,B,7.178447679197896,2.9806824175515376,7.036807175335308
calibration,B,5.308674083296602,3.0263262706556153,5.24460697036205
calibration,B,7.1502460466402695,1.5514102539214112,6.965941224375569
calibration,B,4.887436582904867,1.574176759942259,4.775177995004336
calibration,B,13.069982692700348,1.4785482432356312,12.691158677241233
calibration,B,14.610362618012866,1.6981546446170035,14.218264688282568
calibration,B,2.0866454802271774,3.102990118499226,2.0421002168799207
calibration,B,7.923203081190067,4.768951666759503,7.734614374630043
calibration,B,13.044310728113068,1.2232735227593357,12.744002553701247
calibration,B,13.935105204489094,1.5809743163238046,13.582494126898009
calibration,B,12.576321697446412,2.8556172915813893,12.254070809108558
calibration,B,14.107364369985355,1.1511994474954,13.787950084480615
calibration,B,6.924408522252813,1.2303210542877705,6.752077221085067
calibration,B,5.358506220084713,1.1905635610799798,5.247928032379115
calibration,B,4.190824439466848,1.6949000761609,4.100056889508453
calibration,B,7.752296753481347,2.377820365447207,7.583158466872727
calibration,B,8.8593667467041,1.4298261841505429,8.661778924385334
calibration,B,9.316657515094148,1.7695352383304885,9.09590511880547
calibration,B,8.476217083454037,6.490342796491431,8.323903297899717
calibration,B,9.513846014853513,3.1470850950791465,9.270273099218764
calibration,B,6.690758932938728,1.926862930535958,6.5300949594798015
calibration,B,5.211296150852215,0.9844460459238816,5.099511919983834
calibration,B,11.20974843543237,1.4343531154719287,10.896553144529099
calibration,B,9.482597492210916,1.1361619128378555,9.227070612330728
calibration,B,3.061029999564498,1.4417690666800311,2.9903206423073563
calibration,B,2.868478881970799,1.4589663635630856,2.8274432693564697
calibration,B,11.517561051158458,2.8282543039234116,11.181317969902489
calibration,B,17.335837156463267,3.8690082752489676,16.82119837516958
calibration,B,8.025950461763516,2.188189010931489,7.91584390392968
calibration,B,4.054657050559158,2.0742613967959733,3.9719502759976146
calibration,B,7.358569633293291,1.5150055268256177,7.167165035255287
calibration,B,8.909671942523788,1.3154829856712573,8.673825286375523
calibration,B,11.8891119003308,3.8182733792798036,11.587685924527053
calibration,B,11.064968969527225,3.4820759245488144,10.808958699793902
calibration,B,22.89399974734768,1.2104874013717564,22.34607049539229
calibration,B,22.974303061877,1.3398930978127737,22.27853885971857
calibration,B,4.488962088995188,3.3161491485869004,4.393259224591589
calibration,B,11.303717993158873,4.463382204462785,11.067286659327847
calibration,B,24.86220166863082,3.551348628157965,24.120433508886574
calibration,B,18.89007273968811,5.5157738866802095,18.405509793549474
calibration,B,9.212187334259925,1.4362132693114693,8.973161324922978
calibration,B,8.21332599466068,1.3086955813636822,8.019108523689885
calibration,B,6.88485846588798,1.3344497812436884,6.732662453486409
calibration,B,7.845911581834902,1.2826488979105346,7.6557350505071735
calibration,B,4.926678782412536,1.2695280158906364,4.801713546530193
calibration,B,4.219692849214707,1.7199238318960048,4.121147962851256
calibration,B,7.0724889191409215,0.9313691563691273,6.907354197415603
calibration,B,6.471428857914774,0.9842824932202203,6.317652077871405
calibration,B,4.233185259871864,3.593028711169364,4.139438643977776
calibration,B,12.775407682811291,3.9691090995966047,12.55509091697326
ssHeadConstrained,A,11.652387328720868,7.401054971197352,11.273043310324018
ssHeadConstrained,A,5.758030482778129,3.111524869239514,5.670085838171328
ssHeadConstrained,A,9.1086639468726,1.7378328303079167,8.80920747432882
